Method,Verified,AvgTime,UpperBound
CROWN,36,0.14118055555555553,72
α-CROWN,40,0.22538,72
β-CROWN,60,19.33137333333333,72
GCP-CROWN,61,21.413183606557375,72
BICCOS,62,30.24148870967742,72
Clip-and-Verify,66,28.449822727272725,72
