Method,Verified,AvgTime,UpperBound
CROWN,0,0.0,168
α-CROWN,22,5.646218181818181,168
β-CROWN,118,13.390531355932204,168
BICCOS,120,21.349095833333333,168
Clip-and-Verify,122,22.8496762295082,168
