Method,Verified,AvgTime,UpperBound
CROWN,2,1.1450500000000001,153
α-CROWN,34,0.41052058823529414,153
β-CROWN,142,4.537145070422535,153
GCP-CROWN,142,10.401130985915492,153
BICCOS,146,12.687540410958903,153
Clip-and-Verify,152,12.746753947368422,153
